X,Y,¿º œÃÂª˝,¿º œ—π¡¶,Ω‚Œ¸—π¡¶,¥¢≤„—π¡¶,√∫∫Ò,…¯Õ∏¬ ,ø◊œ∂∂»,æÆ∫≈,∫¨∆¯¡ø,¿€º∆≤˙∆¯¡ø_200,¿€º∆≤˙∆¯¡ø_250,¿€º∆≤˙∆¯¡ø_300,¿€º∆≤˙∆¯¡ø_400, ’“Ê_200, ’“Ê_250, ’“Ê_300, ’“Ê_400
624297.7,3950876.8,36.44,3.55,10.139,7.79,5.5,1.2,0.0631,÷£ ‘24,26.99,490.3600449,654.3565091,809.78256,1078.261343,206.1184646,442.2733731,666.0868864,1052.696334
626687.1,3950364.9,34.58,2.35,5.736,5.323,5.7,1.2,0.0798,÷£ ‘26,24.53,333.2118654,415.1650234,481.0462098,567.7427851,-20.17491375,97.83763365,192.7065422,317.5496105
630220.6,3951803.3,39,3.14,4.18,4.884,6.1,1.2,0.0641,÷£ ‘29,22.27,303.2456665,357.5746563,390.5901154,411.2473518,-63.32624017,14.90750502,62.44976622,92.19618654
631068.47,3959601.36,37.56,3.2,7.857,7.606,7,1,0.0522,÷£ ‘33,26.69,520.8018707,670.0541565,800.1822274,994.6261242,249.9546938,464.8779854,652.2624075,932.2616188
631015.4,3957888.54,39.49,2.96,7.267,5.985,7,1.2,0.0335,÷£ ‘34,28.06,586.6193785,766.957448,929.3250717,1184.050668,344.731905,604.4187251,838.2281032,1205.032962
632669.31,3955118.91,37.54,3.05,4.568,5.726,7,0.9,0.0572,÷£ ‘36,22.51,316.4146603,367.599485,396.8927622,410.076004,-44.36288918,29.34325842,71.52557752,90.50944578
632083.3,3952239.1,37.03,2.2,3.039,4.806,5.7,1.1,0.0672,÷£ ‘37,21.48,169.3179097,180.4691157,180.0809846,162.2566092,-256.18221,-240.1244734,-240.6833822,-266.3504827
635620.31,3953610.1,39.76,3.93,4.2,9.068,7,0.9,0.0681,÷£ ‘40,20.54,251.1913525,271.7500971,269.6421076,221.0009593,-138.2844524,-108.6798601,-111.7153651,-181.7586186
636755.51,3955908.2,40.97,3.69,6.236,7.612,6.5,0.8,0.0431,÷£ ‘41,25.74,401.0579351,490.5340211,556.5072947,626.5514826,77.52342647,206.3689904,301.3705044,402.2341349
636625.81,3957482.25,31.02,2.78,7.144,7.066,7,0.8,0.0538,÷£ ‘42,22.33,386.3411928,487.3216553,572.0311922,692.2396921,56.33131759,201.7431836,323.7249168,496.8251567
633862.32,3959446.16,40.08,2.89,2.96,5.675,8,1.1,0.0492,÷£ ‘45,20.28,243.1889557,257.6614184,254.4188235,221.6975764,-149.8079038,-128.9675575,-133.6368941,-180.75549
633616.63,3961265.86,39.4,2.96,3.629,5.707,6,0.8,0.0539,÷£ ‘46,21.7,190.7581678,203.8133491,203.9521766,184.9573396,-225.3082384,-206.5087773,-206.3088657,-233.6614309
637916.05,3962092.29,39.13,3,4.663,6.948,6,0.995,0.0542,÷£ ‘48,23.81,292.783853,342.8899147,372.5549112,386.9768667,-78.39125162,-6.238522837,36.47907215,57.24668799
634681.03,3963956.01,36.6,3.24,4.416,8.074,8,0.9,0.0648,÷£ ‘51,21.11,309.7895118,347.7969444,360.9241011,337.2035935,-53.90310297,0.827599964,19.73070552,-14.42682534
630802.57,3965207.06,31.93,2.85,14.385,10.402,7,0.8,0.0549,÷£ ‘52,26.65,533.5487514,711.522865,884.9074227,1202.594111,268.310202,524.5929256,774.2666887,1231.73552
